id,
1,s classic dataset contains the prices and other attributes of almost 54,000 diamonds. It's a great dataset for beginners learning to work with data analysis and visualization.
2,%
3,% Content
4,% price price in US dollars (\$326--\$18,823)
5,%
6,% carat weight of the diamond (0.2--5.01)
7,%
8,% cut quality of the cut (Fair,Good,Very Good,Premium,Ideal)
9,%
10,% color diamond colour,from J (worst) to D (best)
11,%
12,% clarity a measurement of how clear the diamond is (I1 (worst),SI2,SI1,VS2,VS1,VVS2,VVS1,IF (best))
13,%
14,% x length in mm (0--10.74)
15,%
16,% y width in mm (0--58.9)
17,%
18,% z depth in mm (0--31.8)
19,%
20,% depth total depth percentage = z / mean(x,y) = 2 * z / (x + y) (43--79)
21,%
22,% table width of top of diamond relative to widest point (43--95)
23,%
24,@RELATION diamonds
25,
26,@ATTRIBUTE carat REAL
27,@ATTRIBUTE cut {Fair,Good,Ideal,Premium,'Very Good'}
28,@ATTRIBUTE color {D,E,F,G,H,I,J}
29,@ATTRIBUTE clarity {I1,IF,SI1,SI2,VS1,VS2,VVS1,VVS2}
30,@ATTRIBUTE depth REAL
31,@ATTRIBUTE table REAL
32,@ATTRIBUTE price INTEGER
33,@ATTRIBUTE x REAL
34,@ATTRIBUTE y REAL
35,@ATTRIBUTE z REAL
36,
37,@DATA
38,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43
39,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31
40,0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31
41,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63
42,0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75
43,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48
44,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47
45,0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53
46,0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49
47,0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39
48,0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73
49,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46
50,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33
51,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71
52,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27
53,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68
54,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68
55,0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7
56,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71
57,0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66
58,0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71
59,0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48
60,0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41
61,0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62
62,0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59
63,0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41
64,0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47
65,0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67
66,0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4
67,0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42
68,0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41
69,0.23,Very Good,F,VS1,59.8,57.0,402,4.04,4.06,2.42
70,0.23,Very Good,E,VS1,60.7,59.0,402,3.97,4.01,2.42
71,0.23,Very Good,E,VS1,59.5,58.0,402,4.01,4.06,2.4
72,0.23,Very Good,D,VS1,61.9,58.0,402,3.92,3.96,2.44
73,0.23,Good,F,VS1,58.2,59.0,402,4.06,4.08,2.37
74,0.23,Good,E,VS1,64.1,59.0,402,3.83,3.85,2.46
75,0.31,Good,H,SI1,64.0,54.0,402,4.29,4.31,2.75
76,0.26,Very Good,D,VS2,60.8,59.0,403,4.13,4.16,2.52
77,0.33,Ideal,I,SI2,61.8,55.0,403,4.49,4.51,2.78
78,0.33,Ideal,I,SI2,61.2,56.0,403,4.49,4.5,2.75
79,0.33,Ideal,J,SI1,61.1,56.0,403,4.49,4.55,2.76
80,0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61
81,0.26,Good,D,VS1,58.4,63.0,403,4.19,4.24,2.46
82,0.32,Good,H,SI2,63.1,56.0,403,4.34,4.37,2.75
83,0.29,Premium,F,SI1,62.4,58.0,403,4.24,4.26,2.65
84,0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71
85,0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,2.79
86,0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,2.54
87,0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,2.64
88,0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2.45
89,0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,2.44
90,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72
91,0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,2.41
92,0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,2.31
93,0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,2.63
94,0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61
95,0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67
96,0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71
97,0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7
98,0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78
99,0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66
100,0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69
101,0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68
102,0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96
103,0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58
104,0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73
105,0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73
106,0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68
107,0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44
108,0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45
109,0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7
